Food_Code,Display_Name,Portion_Default,Portion_Amount,Portion_Display_Name,Calories
92410310,"Soft drink, regular",2,1.0,medium (drink = 22 fl oz),283.92
92410310,"Soft drink, regular",2,1.0,large (drink = 32 fl oz),413.28
92410310,"Soft drink, regular",2,1.0,extra large (drink = 44 fl oz),568.26
92410320,"Soft drink, diet",1,1.0,can,3.55
92410320,"Soft drink, diet",2,1.0,bottle ( bottle = 16 fl oz),4.73
82101000,"Vegetable oil (canola, corn, olive, etc)",1,1.0,Tablespoon,120.224
82101000,"Vegetable oil (canola, corn, olive, etc)",2,0.25,cup,481.78
83101000,Blue cheese dressing,1,1.0,Tablespoon,77.112
83104000,French dressing,1,1.0,Tablespoon,71.292
83104000,French dressing,2,1.0,packet,201.08
83106000,Italian dressing (oil & vinegar),1,1.0,Tablespoon,42.777
83106000,Italian dressing (oil & vinegar),2,0.25,cup,170.9625
83106000,Italian dressing (oil & vinegar),2,1.0,packet (1.6 oz),128.04
83107000,"Mayonnaise, regular",1,1.0,Tablespoon,98.946
83107000,"Mayonnaise, regular",2,0.25,cup,394.35
83107000,"Mayonnaise, regular",2,1.0,packet,86.04
83110000,Miracle whip salad dressing,1,1.0,Tablespoon,57.33
83110000,Miracle whip salad dressing,2,0.25,cup,229.125
83110000,Miracle whip salad dressing,2,1.0,packet,46.8
83112500,Creamy dressing (ranch),1,1.0,Tablespoon,71.442
